dataset,model,drift_type,intensity,xai_method,clean_acc,drifted_acc,SSIM,IoU,MSE,Pearson,Cosine,IoU@0.3,IoU@0.5,IoU@0.7,SSIM_ci_low,SSIM_ci_high,SSIM_wilcoxon_p,SSIM_paired_t_p,SSIM_cohens_d,IoU_ci_low,IoU_ci_high,IoU_wilcoxon_p,IoU_cohens_d,n_images,KS_p,AD_p,Welch_p,Wilcoxon_p
tiny_imagenet,shufflenet_v2,noise,0.2,gradcampp,0.5375,0.20625,0.5325299790699097,0.3839761487869975,0.053406394819103295,0.5171900634469129,0.8980123594532372,0.6128652465093779,0.3839761487869975,0.27571898749816587,0.5173111764983394,0.5479025053058084,1.7709580491810596e-106,1.924395890902347e-266,2.3888233546140762,0.3691206865144383,0.3981996781007736,1.7708728864387685e-106,3.2501765943135865,640,0.0,0.001,0.0,0.0
tiny_imagenet,shufflenet_v2,noise,0.2,gradcam_vs_gradcampp,0.5375,0.20625,0.316216434802609,,,,,,,,,,3.870919128776476e-92,,1.381495238305404,,,,,640,,,,
tiny_imagenet,shufflenet_v2,noise,0.3,gradcam,0.5375,0.0515625,0.12206415760511939,0.10479598975018023,0.17516898228204808,-0.023103985937727355,0.4265443556368503,0.2005786741013102,0.10479598975018023,0.057604304522583624,0.107156638178676,0.13737501107401223,5.467705666639848e-106,0.0,4.5069454121541055,0.09429249654017528,0.1162229818530134,9.083292377588717e-108,6.5578956511897015,640,0.0,0.001,0.0,0.0
tiny_imagenet,shufflenet_v2,noise,0.3,gradcampp,0.5375,0.0515625,0.4391783797602412,0.3168249215860271,0.06781893620827759,0.3694291391203909,0.8664352836803829,0.5676305582402588,0.3168249215860271,0.2026827266087075,0.424787015761932,0.4547162103532556,1.7709580491810596e-106,7.76927e-318,2.9515190488739083,0.30366905981813763,0.33150201454327893,1.7689735967622944e-106,3.8169754474758597,640,0.0,0.001,0.0,0.0
tiny_imagenet,shufflenet_v2,noise,0.3,gradcam_vs_gradcampp,0.5375,0.0515625,0.3171142221551218,,,,,,,,,,9.240149506716481e-97,,1.5164991128961998,,,,,640,,,,
tiny_imagenet,shufflenet_v2,noise,0.4,gradcam,0.5375,0.0171875,0.11229633447901757,0.11175372407031366,0.1735997971962206,-0.03302236634227984,0.46780424629976924,0.22216853677950166,0.11175372407031366,0.05786159134444411,0.09791062046160123,0.1264995032364252,5.467705666639848e-106,0.0,4.989441467778208,0.10150526202577771,0.12223176089290766,3.2030545882931295e-107,6.60110155169458,640,0.0,0.001,0.0,0.0
tiny_imagenet,shufflenet_v2,noise,0.4,gradcampp,0.5375,0.0171875,0.37984984202545435,0.2735989524261365,0.07623386733612278,0.2869278344085031,0.8470117206763398,0.5466300918388927,0.2735989524261365,0.1605792720476805,0.36678177176952076,0.39284981291679544,1.7709580491810596e-106,0.0,3.565855182299224,0.2616312992061547,0.28580952505690166,1.7620889446258244e-106,4.515741527915039,640,0.0,0.001,0.0,0.0
tiny_imagenet,shufflenet_v2,noise,0.4,gradcam_vs_gradcampp,0.5375,0.0171875,0.2675535075464368,,,,,,,,,,5.319541352629803e-93,,1.3604293731742743,,,,,640,,,,
tiny_imagenet,shufflenet_v2,noise,0.5,gradcam,0.5375,0.003125,0.10241817436892804,0.09986859039022308,0.1661377958160301,-0.048005646747723195,0.4508280260338795,0.20616451509838107,0.09986859039022308,0.050792504967087405,0.09058686339565936,0.11541726417322835,2.578734897972061e-106,0.0,5.593381131745809,0.09042394920626506,0.10971558184148418,8.403521733702392e-108,7.14793935580588,640,0.0,0.001,0.0,0.0
tiny_imagenet,shufflenet_v2,noise,0.5,gradcampp,0.5375,0.003125,0.3332124375900585,0.24198485761239694,0.08347839782036318,0.20945146774247902,0.8277853628434191,0.5187001270254724,0.24198485761239694,0.13205859317953333,0.32031104250356124,0.34634454815055454,1.7709580491810596e-106,0.0,3.854307605124896,0.23042711331915702,0.2540408868282338,1.7488582016558371e-106,4.831046277604126,640,0.0,0.001,0.0,0.0
